name,label
10,10 Gîte à Chiroptères (Bâti)
11.11,11.11 Eaux océaniques
11.121,11.121 Eaux littorales
11.122,11.122 Eaux néritiques lointaines (du large)
11.123,11.123 Talus continental
11.124,11.124 Upwellings
11.125,11.125 Hauts fonds
11.12,11.12 Eaux du talus et du plateau continental (= eaux néritiques)
11.1,11.1 Eaux marines
11.21,11.21 Fonds sous marins profonds
11.22,11.22 Zones benthiques sublittorales sur sédiments meubles
11.23,11.23 Zones benthiques sublittorales sur cailloutis
11.24,11.24 Zones benthiques sublittorales sur fonds rocheux
11.251,11.251 Concrétions coralligènes
11.252,11.252 Trottoirs d'algues encroûtantes
11.253,11.253 Trottoirs de Gastéropodes et Polychètes
11.254,11.254 Trottoirs de moules (moulières)
11.25,11.25 Formations sublittorales de concrétions organogéniques
11.26,11.26 Grottes sous marines
11.2,11.2 Benthos (Fonds marins)
11.31,11.31 Herbiers atlantiques à Zostères
11.321,11.321 Herbiers à Zostères naines de l'Atlantique continental
11.322,11.322
11.32,11.32 Herbiers atlantiques à Zostères naines
11.331,11.331 Herbiers méditerranéens à Cymodocea
11.332,11.332 Herbiers méditerranéens à Zostera
11.33,11.33 Herbiers méditerranéens à Cymodocea et Zostera
11.34,11.34 Herbiers de Posidonia
11.35,11.35
11.36,11.36
11.361,11.361
11.362,11.362
11.3,11.3 Herbiers marins à plantes vasculaires
11.41,11.41 Groupements marins à Ruppia maritima
11.42,11.42
11.4,11.4 Herbiers des eaux saumâtres
11,11 Mers et océans
12,12 Bras de mer
13.11,13.11 Eau saumâtre des cours d'eau soumis à marées
13.12,13.12 Eau douce des cours d'eau soumis à marées
13.1,13.1 Fleuves et rivières soumis à marées
13.2,13.2 Estuaires
13.3,13.3 Herbiers marins submergés
13.4,13.4 Herbiers saumâtres submergés
13,13 Estuaires et rivières tidales (soumises à marées)
14,14 Vasières et bancs de sable sans végétations
15.1111,15.1111 Gazons à salicorne des côtes basses
15.1112,15.1112 Groupements à Suaeda et salicorne
15.111,15.111 Gazons atlantiques à Salicorne (Slikkes)
15.1121,15.1121 Suintements continentaux à salicorne
15.1122,15.1122 Gazons continentaux secs à salicorne
15.112,15.112 Gazons continentaux à salicorne
15.1131,15.1131 Gazons à salicorne des basses côtes méditerranéennes
15.1132,15.1132
15.1133,15.1133 Gazons à salicorne des hautes côtes méditerranéennes
15.113,15.113 Gazons méditerranéens à salicorne
15.114,15.114
15.1141,15.1141
15.1142,15.1142
15.11,15.11 Gazons à Salicorne et Suaeda
15.12,15.12 Groupements halonitrophiles à Frankenia
15.13,15.13 Groupements à Sagina et Cochlearia
15.1,15.1 Gazons pionniers salés
15.21,15.21 Prairies à Spartine à feuilles plates
15.22,15.22
15.2,15.2 Prairies à Spartine
15.31,15.31 Prés salés avec Puccinellia maritima
15.321,15.321 Prés salés avec graminées et Pourpier marin
15.322,15.322 Prés salés avec graminées et Aster marin
15.323,15.323 Prés salés avec graminées et Salicorne
15.324,15.324 Végétations à Halimione pedunculata
15.32,15.32 Groupements à Puccinellia maritima des prés salés
15.331,"15.331 Formations dominées par, ou riches en, Juncus gerardii"
15.332,15.332 Formations dominées par Plantago maritima
15.333,15.333 Gazons à Festuca rubra ou Agrostis stolonifera
15.334,15.334 Gazons à Statice (Armeria maritima)
15.335,15.335 Zones à Carex distans
15.336,15.336 Formations riches en Carex extensa
15.337,15.337 Prairies à lavandes de mer (Limonium vulgare)
15.338,15.338 Formations riches en Blysmus rufus
15.339,15.339 Zones à Eleocharis uniglumis ou E. palustris
15.33A,15.33A Zones à Juncus maritimus{15.33A}
15.33B,15.33B Champs à armoise marine (Artemisia maritima){15.33B}
15.33,15.33 Communautés du schorre supérieur
15.33C,15.33C Tapis de Potentilla anserina{15.33C}
15.33D,15.33D Tapis de Frankenia laevis{15.33D}
15.33E,15.33E Zones à Aster (Aster tripolium) du schorre supérieur{15.33E}
15.34,15.34 Prés salés à Puccinellia et Spergularia marina
15.35,15.35 Végétation à Elymus pycnanthus
15.36,15.36 Laisses de mer des prés salés atlantiques
15.3,15.3 Prés salés atlantiques
15.41,15.41 Prés salés continentaux avec Puccinellia distans
15.42,15.42 Prés salés continentaux à jonc et Elymus
15.43,15.43
15.4,15.4 Prés salés continentaux
15.51,15.51 Prés salés méditerranéens à Juncus maritimus et J. acutus
15.52,15.52 Prés salés à Juncus gerardii et Carex divisa
15.53,15.53 Prés méditerranéens halo psammophiles
15.54,15.54
15.55,15.55 Prés salés méditerranéens à Puccinellia
15.56,15.56 Formations à annuelles sur laisses
15.57A,{15.57A}
15.57C,{15.57C}
15.57,15.57 Prés salés à chiendent et armoise
15.58,15.58 Formations à Juncus subulatus
15.5,15.5 Prés salés méditerranéens
15.611,15.611 Tapis d'Arthrocnemum perennis
15.612,15.612 Bosquets d'arbrisseaux à Arthrocnemum (enganes)
15.613,15.613 Bosquets à Arthrocnemum glaucum (enganes)
15.614,15.614 Bosquets d'arbrisseaux à Suaeda
15.615,15.615
15.6151,15.6151
15.6152,15.6152
15.6153,15.6153
15.616,15.616 Fourrés méditerranéens à pourpier marin et Arthrocnemum fruticosi
15.617,15.617
15.61,15.61 Fourrés des marais salés méditerranéens
15.621,15.621 Fourrés argentés à Halimione portulacoides
15.622,15.622 Fruticées atlantiques d'Arthrocnemum perennis
15.623,15.623 Fourrés atlantiques d'arbrisseaux à Suaeda
15.624,15.624 Fourrés atlantiques d'arbustes à Arthrocnemum
15.62,15.62 Fourrés des marais salés atlantiques
15.63,15.63 Fourrés à Limoniastrum
15.64,15.64
15.641,15.641
15.642,15.642
15.643,15.643
15.6,15.6 Fourrés des prés salés (hygro halophiles)
15.71,15.71
15.711,15.711
15.712,15.712
15.713,15.713
15.721,15.721
15.722,15.722
15.723,15.723
15.724,15.724
15.725,15.725
15.72,15.72 Fourrés halonitrophiles méditerranéens
15.7,15.7 Fourrés halophiles semi désertiques
15.8114,15.8114 Steppes à Lavande de mer catalano provençales
15.811,15.811 Steppes à Lavande de mer ibériques
15.81,15.81 Steppes à Lavande de mer
15.82,15.82
15.8,15.8 Steppes salées méditerranéennes
15.9,15.9
15.91,15.91
15.911,15.911
15.912,15.912
15.913,15.913
15.92,15.92
15.921,15.921
15.922,15.922
15.923,15.923
15.93,15.93
15,"15 Marais salés, prés salés (schorres), steppes salées et fourrés sur gypse"
16.11,16.11 Plages de sable sans végétation
16.12,16.12 Groupements annuels des plages de sable
16.13,16.13 Groupements vivaces des plages de sable
16.1,16.1 Plages de sable
16.2111,16.2111 Dunes embryonnaires atlantiques
16.2112,16.2112 Dunes embryonnaires méditerranéennes
16.211,16.211 Dunes embryonnaires
16.2121,16.2121 Dunes blanches de l'Atlantique
16.2122,16.2122 Dunes blanches de la Méditerranée
16.2123,16.2123
16.212,16.212 Dunes blanches
16.21,16.21 Dunes mobiles
16.2211,16.2211 Groupements dunaires à Tortula
16.2212,16.2212 Groupements dunaires à Corynephorus canescens
16.2213,16.2213 Groupements dunaires à Myosoton
16.221,16.221 Dunes grises septentrionales
16.222,16.222 Dunes grises de Gascogne
16.223,16.223 Dunes grises ibéro méditerranéennes
16.224,16.224 Dunes à Euphorbia terracina
16.225,16.225 Pelouses dunaires du Mesobromion
16.226,16.226 Lisières des dunes thermophiles
16.227,16.227 Groupements dunaires à plantes annuelles
16.228,16.228 Groupements dunaires à Malcolmia
16.229,16.229 Pelouses dunaires méditerranéennes xériques
16.22A,16.22A{16.22A}
16.22,16.22 Dunes grises
16.23,16.23
16.241,16.241
16.242,16.242 Dunes françaises à bruyère
16.243,16.243
16.244,16.244 Dunes françaises à bruyère cendrée
16.245,16.245 Dunes françaises à bruyère ciliée
16.246,16.246
16.247,16.247
16.24,16.24 Dunes brunes à bruyère
16.251,16.251 Fourrés dunaires à Argousier
16.252,16.252 Fourrés dunaires mixtes
16.25,"16.25 Dunes avec fourrés, bosquets"
16.26,16.26 Dunes à Salix arenaria
16.271,16.271 Fourrés dunaires à genévrier oxycèdre
16.272,16.272 Bois à Juniperetum lyciae
16.273,16.273
16.274,16.274
16.27,16.27 Dunes à genévrier
16.28,16.28 Fourrés dunaires à sclérophylles
16.29,16.29 Dunes boisées
16.2,16.2 Dunes
16.31,16.31 Mares des lettes dunaires
16.32,16.32 Gazons pionniers des lettes ou pannes humides
16.33,16.33 Bas marais des pannes humides
16.34,16.34 Prairies des lettes ou pannes humides
16.35,16.35 Roselières et cariçaies des lettes dunaires
16.3,"16.3 Lettes dunaires humides (= Pannes humides, = Dépressions humides intradunales)"
16,16 Dunes côtières et plages de sable
17.1,17.1 Plages de galets sans végétation
17.2,17.2 Végétation annuelle des laisses de mer sur plages de galets
17.31,17.31
17.32,17.32 Groupements à Crambe de la Manche
17.33,17.33 Groupements à Crambe de l'Atlantique
17.3,17.3 Végétation vivace des bancs de galets à Crambe
17.41,17.41 Pelouses à Avoine élevée sur bancs de galets
17.42,17.42 Landes à Genêt à balais sur bancs de galets
17.4,17.4 Prairies et landes des bancs de galets
17,17 Plages de galets
18.11,18.11 Rochers et falaises de la frange médiolittorale
18.12,18.12 Rochers de l'étage médiolittoral inférieur
18.13,18.13 Rochers de l'étage médiolittoral supérieur
18.14,"18.14 Surplombs, crevasses et grottes de l'étage médiolittoral"
18.15,18.15 Mares permanentes des rochers de l'étage médiolittoral
18.16,18.16 Rochers de l'étage supralittoral
18.17,18.17 Flaques des rochers de l'étage supralittoral
18.1,18.1 Falaises maritimes nues
18.21,18.21 Groupements des falaises atlantiques
18.22,18.22 Groupements des falaises méditerranéennes
18.23,18.23
18.24,18.24
18.2,18.2 Côtes rocheuses et falaises avec végétation
18.3,18.3
18,18 Côtes rocheuses et falaises maritimes
19,"19 Ilots, bancs rocheux et récifs"
1A,1A{1A}
1,1 Habitats littoraux et halophiles
21,21 Lagunes
22.11,22.11 Eaux oligotrophes pauvres en calcaire
22.12,22.12 Eaux mésotrophes
22.13,22.13 Eaux eutrophes
22.14,22.14 Eaux dystrophes
22.15,22.15 Eaux oligo mésotrophes riches en calcaire
22.1,22.1 Eaux douces
22.2,22.2 Galets ou vasières non végétalisés
22.3111,22.3111 Gazons de Littorelles
22.3112,22.3112 Etangs à Lobélies
22.3113,22.3113 Gazons d'Isoètes euro sibériens
22.3114,22.3114 Communautés flottantes de Sparganium
22.311,"22.311 Gazons de Littorelles, étangs à Lobélies, gazons d'Isoètes"
22.312,22.312 Gazons à Eleocharis en eaux peu profondes
22.313,22.313 Gazons des bordures d'étangs acides en eaux peu profondes
22.314,22.314 Gazons des berges tourbeuses en eaux peu profondes
22.3151,22.3151 Gazons péri alpins à Canche des rivages
22.3152,22.3152
22.315,22.315 Gazons à Canche des rivages
22.31,22.31 Communautés amphibies pérennes septentrionales
22.321,22.321 Communautés à Eleocharis
22.322,22.322 Gazons de plantes pionnières des lettes dunaires
22.3231,22.3231 Gazons à Juncus bufonius
22.3232,22.3232 Gazons à petits Souchets
22.3233,22.3233 Communautés d'herbes naines des substrats humides
22.323,22.323 Communautés naines à Juncus bufonius
22.32,22.32 Gazons amphibies annuels septentrionaux
22.33,22.33 Groupements à Bidens tripartitus
22.3411,22.3411 Groupements terrestres à Isoètes
22.3412,22.3412 Gazons méditerranéens aquatiques à Isoètes
22.3413,22.3413
22.3414,22.3414 Gazons méditerranéens à Cyperus
22.3415,22.3415 Gazons méditerranéens à Fimbristylis
22.3416,22.3416
22.3417,22.3417 Groupements à Spiranthes et Anagallis
22.3418,22.3418 Groupements méditerranéens amphibies à plantes de taille réduite
22.341,22.341 Petits gazons amphibies méditerranéens
22.342,22.342 Grands gazons méditerranéens amphibies
22.343,22.343 Gazons méditerranéens amphibies halo nitrophiles
22.344,22.344 Prairies à Serapias
22.34,22.34 Groupements amphibies méridionaux
22.3,22.3 Communautés amphibies
22.411,22.411 Couvertures de Lemnacées
22.412,22.412 Radeaux d'Hydrocharis
22.413,22.413 Radeaux de Stratiotes
22.414,22.414 Colonies d'Utriculaires
22.415,22.415 Couvertures de Salvinia
22.416,22.416 Groupements à Aldrovanda
22.41,22.41 Végétations flottant librement
22.421,22.421 Groupements de grands Potamots
22.422,22.422 Groupements de petits Potamots
22.42,22.42 Végétations enracinées immergées
22.4311,22.4311 Tapis de Nénuphars
22.4312,22.4312 Tapis de chataîgnes d'eau
22.4313,22.4313 Tapis de Nymphoides
22.4314,22.4314 Tapis de Potamot flottant
22.4315,22.4315 Tapis de Renouées
22.431,22.431 Tapis flottant de végétaux à grandes feuilles
22.432,22.432 Communautés flottantes des eaux peu profondes
22.433,22.433 Groupements oligotrophes de Potamots
22.43,22.43 Végétations enracinées flottantes
22.441,22.441 Tapis de Chara
22.442,22.442 Tapis de Nitella
22.44,22.44 Tapis immergés de Characées
22.45,22.45 Mares de tourbières à Sphaignes et Utriculaires
22.4,22.4 Végétations aquatiques
22.5,22.5 Masses d'eau temporaires
22,22 Eaux douces stagnantes
23.11,23.11 Eau libre sans tapis de Charophytes
23.12,23.12 Tapis algual de Charophyte
23.1,23.1 Eaux saumâtres ou salées sans végétation
23.211,23.211 Groupements à Ruppia
23.212,23.212 Communautés lagunaires de végétation marine
23.21,23.21 Formations immergées des eaux saumâtres ou salées
23.22,23.22 Scirpaies naines lagunaires
23.2,23.2 Eaux saumâtres ou salées végétalisées
23,"23 Eaux stagnantes, saumâtres et salées"
24.11,24.11 Ruisselets
24.12,24.12 Zone à Truites
24.13,24.13 Zone à Ombres
24.14,24.14 Zone à Barbeaux
24.15,24.15 Zone à Brèmes
24.161,24.161
24.16,24.16 Cours d'eau intermittents
24.1,24.1 Lits des rivières
24.21,24.21 Bancs de graviers sans végétation
24.221,24.221 Groupements d'Epilobes des rivières subalpines
24.222,24.222 Groupements alpins des bancs de graviers
24.223,24.223 Broussailles de Saules et de Myricaire germanique
24.224,24.224 Fourrés et bois des bancs de graviers
24.225,24.225 Lits de graviers méditerranéens
24.226,24.226 Graviers des rivières de plaine
24.22,24.22 Bancs de graviers végétalisés
24.2,24.2 Bancs de graviers des cours d'eau
24.31,24.31 Bancs de sable des rivières sans végétation
24.32,24.32 Bancs de sable riverains pourvus de végétation
24.3,24.3 Bancs de sable des rivières
24.41,24.41 Végétation des rivières oligotrophes acidiphiles
24.42,24.42 Végétation des rivières oligotrophes riches en calcaire
24.43,24.43 Végétation des rivières mésotrophes
24.44,24.44 Végétation des rivières eutrophes
24.4,24.4 Végétation immergée des rivières
24.51,24.51 Dépôts nus d'alluvions fluviatiles limoneuses
24.52,24.52 Groupements euro sibériens annuels des vases fluviatiles
24.53,24.53 Groupements méditerranéens des limons riverains
24.5,24.5 Dépôts d'alluvions fluviatiles limoneuses
24,24 Eaux courantes
2,2 Milieux aquatiques non marins
31.11,31.11 Landes humides atlantiques septentrionales
31.12,31.12 Landes humides atlantiques méridionales
31.13,31.13 Landes humides à Molinia caerulea
31.1,31.1 Landes humides
31.211,31.211
31.212,31.212
31.2121,31.2121
31.2122,31.2122
31.2123,31.2123
31.2124,31.2124
31.2125,31.2125
31.2126,31.2126
31.2127,31.2127
31.2128,31.2128
31.213,31.213 Landes hercyniennes à Vaccinium
31.214,31.214 Landes submontagnardes alpiennes à Vaccinium
31.215,31.215 Landes sub montagnardes pyrénéo cantabriques à Vaccinium
31.21,31.21 Landes submontagnardes à Vaccinium
31.221,31.221
31.222,31.222
31.223,31.223 Landes campino flandriennes à Callune et Genêt
31.224,31.224 Landes campino flandriennes à Erica cinerea
31.225,31.225
31.2251,31.2251
31.2252,31.2252
31.2253,31.2253
31.2254,31.2254
31.2255,31.2255
31.2256,31.2256
31.2257,31.2257
31.2258,31.2258
31.226,31.226 Landes montagnardes à Calluna et Genista
31.227,31.227 Landes à Empetrum nigrum
31.228,31.228
31.229,31.229
31.22A,31.22A Landes à Genista sagittalis{31.22A}
31.22,31.22 Landes sub atlantiques à Genêt et Callune
31.231,31.231 Landes à Ulex maritimus
31.232,31.232
31.233,31.233
31.2341,31.2341 Landes armoricaines à Erica vagans
31.2342,31.2342
31.23421,31.23421
31.23422,31.23422
31.234,31.234 Landes septentrionales à Erica vagans
31.2351,31.2351 Landes anglo armoricaines à Ulex gallii et Erica cinerea
31.2352,31.2352 Landes anglo armoricaines à Ulex gallii et Erica ciliaris
31.2353,31.2353 Landes anglo armoricaines à Ulex gallii et Calluna
31.2354,31.2354
31.235,31.235 Landes anglo armoricaines occidentales à Ajoncs
31.236,31.236 Landes pyrénéo cantabriques à Erica mackaiana et E. ciliaris
31.237,31.237 Landes pyrénéo cantabriques à Erica vagans et Erica cinerea
31.2381,31.2381 Landes anglo normandes à Ulex minor et Erica cinerea
31.2382,31.2382 Landes anglo normandes à Ulex minor et Erica ciliaris
31.2383,31.2383 Landes anglo normandes à Ulex minor et Calluna
31.238,31.238 Landes anglo normandes à Ajoncs nains
31.2391,31.2391 Landes aquitano ligériennes à Ulex minor et Erica cinerea
31.2392,31.2392 Landes aquitano ligériennes à Ulex minor et Erica ciliaris
31.2393,31.2393 Landes aquitano ligériennes à Ulex minor et Erica scoparia
31.239,31.239 Landes aquitano ligériennes à Ajoncs nains
31.23,31.23 Landes atlantiques à Erica et Ulex
31.2411,31.2411 Landes aquitaniennes à Erica et Cistus
31.2412,31.2412 Landes arides de Gascogne et de Sologne
31.2413,31.2413
31.241,31.241 Landes gasconnes
31.242,31.242
31.2421,31.2421
31.2422,31.2422
31.243,31.243
31.2431,31.2431
31.2432,31.2432
31.244,31.244
31.2441,31.2441
31.2442,31.2442
31.2443,31.2443
31.245,31.245
31.2451,31.2451
31.2452,31.2452
31.2453,31.2453
31.246,31.246
31.2461,31.2461
31.2462,31.2462
31.2463,31.2463
31.2464,31.2464
31.247,31.247
31.248,31.248
31.249,31.249
31.24,"31.24 Landes ibéro atlantiques à Erica, Ulex et Cistus"
31.2,31.2 Landes sèches
31.3,31.3
31.31,31.31
31.311,31.311
31.312,31.312
31.32,31.32
31.33,31.33
31.34,31.34
31.35,31.35
31.36,31.36
31.411,31.411 Landes à Loiseleuria
31.412,31.412 Landes alpines à Vaccinium
31.41,31.41 Landes naines à Azalée et à Vaccinium
31.42,31.42 Landes à Rhododendron
31.431,31.431 Fourrés à Juniperus communis subsp. nana
31.432,31.432 Fourrés à Juniperus sabina
31.433,31.433 Fourrés à Juniperus communis subsp. hemisphaerica
31.434,31.434
31.43,31.43 Fourrés à Genévriers nains
31.44,31.44 Landes à Empetrum et Vaccinium
31.45,31.45
31.451,31.451
31.452,31.452
31.453,31.453
31.46,31.46
31.47,31.47 Landes à Arctostaphylos uva ursi
31.48,31.48 Landes à Rhododendron hirsutum
31.491,31.491 Tapis de Dryas de haute montagne
31.492,31.492
31.493,31.493
31.494,31.494
31.495,31.495
31.49,31.49 Tapis à Dryade
31.4A,31.4A{31.4A}
31.4,31.4 Landes alpines et boréales
31.51,31.51 Fourrés bas de Pins mugo des Alpes internes
31.52,31.52
31.53,31.53 Fourrés bas de Pins mugo des Alpes sud occidentales
31.54,31.54
31.5,31.5 Fourré bas de Pins mugo
31.611,31.611 Fourrés d'Aulnes verts des Alpes
31.612,31.612 Broussailles corses d'Alnus viridis subsp. suaveolens
31.61,31.61 Broussailles d'Aulnes verts
31.6211,31.6211 Brousses à Saules bas des Alpes
31.6212,31.6212 Brousses alpiennes à Saules prostrés
31.6213,31.6213 Brousses alpiennes de Saules élevés
31.6214,31.6214 Broussailles de Saules pyrénéens
31.621,31.621 Fourrés de Saules pyrénéo alpiens
31.622,31.622
31.623,31.623
31.62,31.62 Fourrés de Saules
31.63,31.63 Mégaphorbiaies subalpines avec buissons
31.64,31.64
31.6,31.6 Fourrés subalpins et communautés de hautes herbes (mégaphorbiaies)
31.71,31.71 Landes épineuses pyrénéennes
31.72,31.72
31.721,31.721
31.722,31.722
31.723,31.723
31.724,31.724
31.73,31.73
31.731,31.731
31.732,31.732
31.733,31.733
31.734,31.734
31.7341,31.7341
31.7342,31.7342
31.735,31.735
31.7411,31.7411
31.7412,31.7412
31.7413,31.7413
31.7414,31.7414
31.7415,31.7415
31.741,31.741 Landes épineuses à Erinacea
31.742,31.742
31.7421,31.7421
31.7422,31.7422
31.7423,31.7423
31.7424,31.7424
31.743,31.743
31.7431,31.7431
31.7432,31.7432
31.7433,31.7433
31.744,31.744
31.7451,31.7451 Landes en coussinets pyrénéo cantabriennes
31.7452,31.7452
31.7453,31.7453
31.7454,31.7454
31.7455,31.7455
31.7456,31.7456 Landes en coussinets à Genista lobelii et G. pulchella
31.745,31.745 Landes en coussinets de Genista
31.746,31.746
31.7461,31.7461
31.7462,31.7462
31.747,31.747
31.7471,31.7471
31.7472,31.7472
31.74,31.74 Landes épineuses franco ibériques
31.751,31.751 Landes épineuses à Astragalus gennargenteus
31.752,31.752 Landes épineuses cyrno sardes à Euphorbia
31.753,31.753 Landes en coussinets cyrno sardes à Thymus
31.754,31.754 Landes épineuses cyrno sardes à Genista
31.755,31.755 Landes épineuses cyrno sardes à Berberis
31.756,31.756 Landes épineuses cyrno sardes à Anthyllis
31.75,31.75 Landes épineuses cyrno sardes
31.76,31.76
31.77,31.77
31.771,31.771
31.772,31.772
31.773,31.773
31.774,31.774
31.775,31.775
31.78,31.78
31.79,31.79
31.791,31.791
31.7911,31.7911
31.7912,31.7912
31.7913,31.7913
31.792,31.792
31.7921,31.7921
31.7922,31.7922
31.793,31.793
31.7931,31.7931
31.7932,31.7932
31.7A,31.7A{31.7A}
31.7A1,31.7A1{31.7A1}
31.7A2,31.7A2{31.7A2}
31.7A3,31.7A3{31.7A3}
31.7A4,31.7A4{31.7A4}
31.7B,31.7B{31.7B}
31.7B1,31.7B1{31.7B1}
31.7B2,31.7B2{31.7B2}
31.7B3,31.7B3{31.7B3}
31.7B4,31.7B4{31.7B4}
31.7C,31.7C{31.7C}
31.7C1,31.7C1{31.7C1}
31.7C11,31.7C11{31.7C11}
31.7C12,31.7C12{31.7C12}
31.7C13,31.7C13{31.7C13}
31.7C14,31.7C14{31.7C14}
31.7C15,31.7C15{31.7C15}
31.7C16,31.7C16{31.7C16}
31.7C17,31.7C17{31.7C17}
31.7C2,31.7C2{31.7C2}
31.7C21,31.7C21{31.7C21}
31.7C22,31.7C22{31.7C22}
31.7D,31.7D{31.7D}
31.7E,31.7E Landes épineuses à Astragalus sempervirens{31.7E}
31.7F,31.7F{31.7F}
31.7F1,31.7F1{31.7F1}
31.7F2,31.7F2{31.7F2}
31.7,31.7 Landes épineuses (= Landes hérisson)
31.8111,31.8111 Fruticées subatlantiques Prunus spinosa et Rubus fruticosus
31.8112,31.8112 Fruticées atlantiques Prunus spinosa et Rubus fruticosus
31.811,31.811 Fruticées à Prunus spinosa et halliers à Rubus fruticosus
31.81211,31.81211 Fruticées médio européennes à Prunelliers et Troènes
31.812121,31.812121 Fruticées atlantiques calciclines
31.812122,"31.812122 Fruticées calcicoles de bord de route, sur craie"
31.81212,31.81212 Fruticées atlantiques à Crataegus et Hedera
31.8121,31.8121 Fruticées atlantiques et médio européennes à Prunelliers et Troènes
31.8122,31.8122 Fruticées subméditerranéennes de Prunelliers et de Troènes
31.8123,31.8123 Fruticées de stations rocailleuses à Cotoneaster et Amélanchier
31.8124,31.8124 Fruticées d'Argousiers
31.81251,31.81251 Fruticées à Prunus brigantiaca
31.81252,31.81252 Autres fruticées intra alpines à Epine vinette
31.8125,31.8125 Fruticées intra alpines à Epine vinette
31.8126,31.8126
31.812,31.812 Fruticées à Prunelliers et Troènes
31.81,31.81 Fourrés médio européens sur sol fertile
31.82,31.82 Fruticées à Buis
31.831,31.831 Ronciers
31.832,"31.832 Fourrés à Bourdaine, Sorbiers, Chèvrefeuilles"
31.83,31.83 Fruticées atlantiques des sols pauvres
31.8411,31.8411 Landes à Genêts des plaines et des collines
31.8412,31.8412 Landes à Genêts des Alpes
31.8413,31.8413 Landes du Massif central à Cytisus scoparius
31.8414,31.8414 Landes à Cytisus scoparius des Pyrénées
31.841,31.841 Landes médio européennes à Cytisus scoparius
31.8421,31.8421 Landes à Cytisus purgans des Cévennes
31.8422,31.8422 Landes à Cytisus purgans pyrénéennes
31.8423,31.8423
31.8424,31.8424
31.8425,31.8425
31.8426,31.8426
31.8427,31.8427
31.842,31.842 Landes à Cytisus purgans
31.843,31.843
31.8431,31.8431
31.8432,31.8432
31.8433,31.8433
31.8434,31.8434
31.8435,31.8435
31.8436,31.8436
31.8437,31.8437
31.844,31.844
31.8441,31.8441
31.8442,31.8442
31.845,31.845
31.8451,31.8451
31.8452,31.8452
31.846,31.846
